comment,sentiment,Unnamed: 2,tokens
feel kar speed bot ki 3,positive,,"['feel', 'kar', 'speed', 'bot', 'ki', '3']"
isy kahty han hop hip hop 3 powered by abraham tamim,positive,,"['isy', 'kahty', 'han', 'hop', 'hip', 'hop', '3', 'powered', 'by', 'abraham', 'tamim']"
great aadmi aadmi,positive,,"['great', 'aadmi', 'aadmi']"
in england attaullah esakhelvi married with a pakistani ethnography british lady,positive,,"['in', 'england', 'attaullah', 'esakhelvi', 'married', 'with', 'a', 'pakistani', 'ethnography', 'british', 'lady']"
he has one son with her,positive,,"['he', 'has', 'one', 'son', 'with', 'her']"
he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal,positive,,"['he', 'got', 'second', 'marriage', 'with', 'bazgha', 'she', 'is', 'famous', 'manuscript', 'actress', 'and', 'they', 'have', 'only', 'daughter', 'named', 'laraib', 'and', 'only', 'son', 'named', 'sanwal']"
he received honorable award from the government of pakistan and life time achievement award from the queen of england,positive,,"['he', 'received', 'honorable', 'award', 'from', 'the', 'government', 'of', 'pakistan', 'and', 'life', 'time', 'achievement', 'award', 'from', 'the', 'queen', 'of', 'england']"
he entered in guinness book of world record for the singer of most recorded albums,positive,,"['he', 'entered', 'in', 'guinness', 'book', 'of', 'world', 'record', 'for', 'the', 'singer', 'of', 'most', 'recorded', 'albums']"
attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai jin ki maqboliyat mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio tv ya film ke marhoon e minnat nahi hai,positive,,"['attaullah', 'esakhelvi', 'ka', 'shumar', 'un', 'gine', 'chune', 'artists', 'mein', 'kiya', 'jata', 'hai', 'jin', 'ki', 'maqboliyat', 'mutarrif', 'hone', 'se', 'le', 'kar', 'shohrat', 'ke', 'urooj', 'tak', 'pohanchne', 'tak', 'radio', 'tv', 'ya', 'film', 'ke', 'marhoon', 'e', 'minnat', 'nahi', 'hai']"
agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai,positive,,"['agarcha', 'aise', 'artists', 'mein', 'munni', 'begum', 'aur', 'aziz', 'miyan', 'qawaal', 'ka', 'naam', 'bhi', 'shamil', 'hai']"
lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,positive,,"['lekin', 'top', 'of', 'the', 'list', 'attaullah', 'esakhelvi', 'ka', 'naam', 'he', 'samjha', 'jata', 'hai']"
jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai dilchasp bhi aur kar hawalon se qabil e taqleed bhi,positive,,"['jin', 'ki', 'ibtedai', 'zindagi', 'aur', 'urooj', 'ki', 'daastan', 'qabil', 'e', 'rashk', 'bhi', 'hai', 'dilchasp', 'bhi', 'aur', 'kar', 'hawalon', 'se', 'qabil', 'e', 'taqleed', 'bhi']"
in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,positive,,"['in', 'mein', 'mauseeqi', 'ka', 'shauq', 'paida', 'hua', 'to', 'inho', 'ne', 'gungunana', 'shuru', 'kar', 'diya']"
jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,positive,,"['jab', 'school', 'teachers', 'ne', 'in', 'ki', 'awaaz', 'suni', 'to', 'mukesh', 'aur', 'rafi', 'ke', 'songs', 'ki', 'farmaiysh', 'karne', 'lage', 'aur', 'hausla', 'afzaai', 'karne', 'ke', 'sath', 'sath', 'yeh', 'dars', 'bhi', 'dete', 'rehte', 'ke', 'singing', 'na', 'chorna']"
wohi un ki infaradiyat bana,positive,,"['wohi', 'un', 'ki', 'infaradiyat', 'bana']"
yahin qismat ki devi un par meharban hui aur “ rehmat gramophone house ” naami aik company ne un ke songs ki recording ki… “ udhar zindagi ka janaza uthega ” aur saraiki geet “ naki jae gal tu rus naa ae dhola ” choti si baat par naraz ho jate ho maahi jab market mein aae to jaise hulchul mach gai,positive,,"['yahin', 'qismat', 'ki', 'devi', 'un', 'par', 'meharban', 'hui', 'aur', '“', 'rehmat', 'gramophone', 'house', '”', 'naami', 'aik', 'company', 'ne', 'un', 'ke', 'songs', 'ki', 'recording', 'ki…', '“', 'udhar', 'zindagi', 'ka', 'janaza', 'uthega', '”', 'aur', 'saraiki', 'geet', '“', 'naki', 'jae', 'gal', 'tu', 'rus', 'naa', 'ae', 'dhola', '”', 'choti', 'si', 'baat', 'par', 'naraz', 'ho', 'jate', 'ho', 'maahi', 'jab', 'market', 'mein', 'aae', 'to', 'jaise', 'hulchul', 'mach', 'gai']"
har taraf ataullah niazi ki singing ka charcha hone laga,positive,,"['har', 'taraf', 'ataullah', 'niazi', 'ki', 'singing', 'ka', 'charcha', 'hone', 'laga']"
lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,positive,,"['lekin', 'us', 'daur', 'ke', 'mustand', 'singers', 'ne', 'unhe', 'be', 'surr', 'iqraar', 'de', 'kar', 'mustarid', 'kar', 'diya']"
radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,positive,,"['radio', 'aur', 'tv', 'jo', 'maand', 'parhte', 'sitaron', 'ki', 'kafalat', 'he', 'nahi', 'bal', 'ke', 'ubharte', 'hue', 'artists', 'ke', 'hausla', 'afzaai', 'ki', 'riwayaat', 'bhi', 'rakhte', 'hain']"
lekin dosri taraf village dehaat qasbon buses wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha,positive,,"['lekin', 'dosri', 'taraf', 'village', 'dehaat', 'qasbon', 'buses', 'wagons', 'aur', 'chae', 'khano', 'mein', 'attaullah', 'esakhelvi', 'ki', 'awaaz', 'ka', 'tota', 'bol', 'raha', 'tha']"
taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain,positive,,"['taweel', 'musafat', 'ke', 'liye', 'buses', 'ka', 'ticket', 'lene', 'wale', 'pehle', 'yeh', 'istafsaar', 'bhi', 'karte', 'ke', 'attaullah', 'esakhelvi', 'ki', 'cassette', 'lagaoge', 'mianwali', 'ke', 'logon', 'ne', 'inhe', 'bataya', 'ke', 'tumhare', 'naam', 'se', 'esakhel', 'mein', 'hotel', 'khul', 'gae', 'hain']"
jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai to attaullah esakhelvi ne phir esakhel jane ka qasd kiya,positive,,"['jagah', 'jagah', 'tumhari', 'taswirein', 'lagi', 'hain', 'aur', 'mianwali', 'mein', 'sirf', 'tumhari', 'cassette', 'he', 'farokht', 'hoti', 'hai', 'to', 'attaullah', 'esakhelvi', 'ne', 'phir', 'esakhel', 'jane', 'ka', 'qasd', 'kiya']"
phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein 90 log attaullah esakhelvi ke songs ki farmaiysh karte,positive,,"['phir', 'yeh', 'hua', 'ke', 'radio', 'pakistan', 'ke', 'farmaishi', 'naghmon', 'ke', 'programs', 'mein', '90', 'log', 'attaullah', 'esakhelvi', 'ke', 'songs', 'ki', 'farmaiysh', 'karte']"
radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi,positive,,"['radio', 'hukkam', 'par', 'bhi', 'is', 'hawale', 'se', 'dabao', 'dala', 'jata', 'ke', 'wo', 'apni', 'nashriyat', 'mein', 'attaullah', 'esakhelvi', 'ko', 'madaoo', 'karen', 'aur', 'aakhirkar', 'majboor', 'ho', 'kar', 'attaullah', 'esakhelvi', 'se', 'radio', 'pakistan', 'aane', 'ki', 'darkhuwast', 'karni', 'parhi']"
70 ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,positive,,"['70', 'ki', 'dehaai', 'ka', 'yeh', 'wo', 'zamana', 'tha', 'jab', 'attaullah', 'esakhelvi', 'aik', 'cassette', 'ki', 'recording', 'ka', 'muaawza', '1', 'lac', 'rupees', 'liya', 'karte', 'the']"
tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai,positive,,"['tahum', 'radio', 'par', 'songs', 'ka', 'muaawza', 'inhe', '60', 'rupey', 'ka', 'cheque', 'mila', 'jo', 'inho', 'ne', 'cash', 'nahi', 'karwaya', 'aur', 'aaj', 'tak', 'sambhal', 'kar', 'rakha', 'hua', 'hai']"
sirf yehi nahi bal ke radio par recording se qabal inhe audition awaaz ki qaulity ka imtehaan kea mal se bhi guzarna parha,positive,,"['sirf', 'yehi', 'nahi', 'bal', 'ke', 'radio', 'par', 'recording', 'se', 'qabal', 'inhe', 'audition', 'awaaz', 'ki', 'qaulity', 'ka', 'imtehaan', 'kea', 'mal', 'se', 'bhi', 'guzarna', 'parha']"
phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries mein jagah bana li,positive,,"['phir', 'aahista', 'aahista', 'un', 'ki', 'singing', 'ne', 'tabqa', 'ishrafia', 'ke', 'drawing', 'rooms', 'cars', 'ke', 'sound', 'systems', 'aur', 'video', 'libraries', 'mein', 'jagah', 'bana', 'li']"
beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,positive,,"['beron', 'e', 'mulk', 'basne', 'wale', 'pakistani', 'jab', 'watan', 'aate', 'to', 'doston', 'aur', 'aehbaab', 'ki', 'farmaiysh', 'pori', 'karne', 'ke', 'liye', 'barhi', 'tadaad', 'mein', 'in', 'ke', 'cassette', 'tohfatan', 'le', 'kar', 'jate']"
is tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban gae,positive,,"['is', 'tarah', 'europe', 'aur', 'mashriq', 'wastee', 'mein', 'bhi', 'wo', 'pakistan', 'ki', 'aik', 'manoos', 'aur', 'maqbool', 'awaaz', 'ban', 'gae']"
1980 mein inho ne pehli martaba british ka tour kiya to wahan bhi dhoom macha di,positive,,"['1980', 'mein', 'inho', 'ne', 'pehli', 'martaba', 'british', 'ka', 'tour', 'kiya', 'to', 'wahan', 'bhi', 'dhoom', 'macha', 'di']"
diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,positive,,"['diyar', 'e', 'ghair', 'mein', 'basne', 'wale', 'in', 'ke', 'songs', 'sunn', 'kar', 'apno', 'ko', 'yaad', 'karte', 'to', 'in', 'ki', 'aankhon', 'se', 'aansoo', 'rawaa', '’', 'n', 'ho', 'jate']"
naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,positive,,"['naujawan', 'ladke', 'aur', 'ladkiyan', 'walihana', 'raqs', 'karte', 'to', 'gorey', 'bhi', 'be', 'saakhti', 'ke', 'aalam', 'mein', 'in', 'ka', 'sath', 'dete']"
england aamad o raft ka silsila shuru hua to aik pakistani nasaad british ladki ko dil de bethe,positive,,"['england', 'aamad', 'o', 'raft', 'ka', 'silsila', 'shuru', 'hua', 'to', 'aik', 'pakistani', 'nasaad', 'british', 'ladki', 'ko', 'dil', 'de', 'bethe']"
is tarah wo aaj tak sab ke lala he hain,positive,,"['is', 'tarah', 'wo', 'aaj', 'tak', 'sab', 'ke', 'lala', 'he', 'hain']"
yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,positive,,"['yeh', 'aezaaz', 'ab', 'tak', 'attaullah', 'esakhelvi', 'ke', 'paas', 'he', 'hai', 'ke', 'recording', 'aur', 'farokht', 'hone', 'wale', 'cassettes', 'mein', 'sab', 'se', 'ziyada', 'in', 'ki', 'singing', 'ke', 'he', 'hote', 'hain']"
inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,positive,,"['inho', 'ne', 'hukomat', 'e', 'pakistan', 'se', 'tamgha', 'e', 'imtiaz', 'hasil', 'karne', 'ke', 'sath', 'malika', 'british', 'se', 'life', 'time', 'achievement', 'award', 'bhi', 'hasil', 'kiya', 'hai']"
1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha,positive,,"['1994', 'mein', 'in', 'ka', 'naam', 'sab', 'se', 'ziyada', 'audio', 'albums', 'recorder', 'karane', 'wale', 'singer', 'ke', 'hawale', 'se', 'guinness', 'book', 'of', 'world', 'record', 'mein', 'bhi', 'darj', 'tha']"
torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,positive,,"['torkham', 'se', 'karachi', 'tak', 'truck', 'drivers', 'ka', 'safar', 'un', 'ki', 'awaaz', 'ke', 'sath', 'hota', 'hai']"
president ayyab khan mohtarma fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai,positive,,"['president', 'ayyab', 'khan', 'mohtarma', 'fatima', 'jinnah', 'baaz', 'dosri', 'shakhsiyat', 'ki', 'tasaweer', 'to', 'beshumaar', 'trucks', 'ke', 'aqbii', 'hisson', 'par', 'bani', 'nazar', 'aati', 'hain', 'lekin', 'attaullah', 'esakhelvi', 'mulk', 'ke', 'wo', 'wahid', 'artist', 'hain', 'jin', 'se', 'wabistegi', 'ka', 'izhaar', 'buses', 'aur', 'trucks', 'ke', 'piche', 'tasweer', 'banwa', 'kar', 'bhi', 'kiya', 'jata', 'hai']"
she played a fantastic role in the drama serial “ aangan terha ” with shakeel siddiqui and saleem nasir late,positive,,"['she', 'played', 'a', 'fantastic', 'role', 'in', 'the', 'drama', 'serial', '“', 'aangan', 'terha', '”', 'with', 'shakeel', 'siddiqui', 'and', 'saleem', 'nasir', 'late']"
bushra ansari received many more different prizes and awards in her life,positive,,"['bushra', 'ansari', 'received', 'many', 'more', 'different', 'prizes', 'and', 'awards', 'in', 'her', 'life']"
she received an award of pride of performance and women life achievement award from benazir bhutto,positive,,"['she', 'received', 'an', 'award', 'of', 'pride', 'of', 'performance', 'and', 'women', 'life', 'achievement', 'award', 'from', 'benazir', 'bhutto']"
she won the ptv award and lux style award also,positive,,"['she', 'won', 'the', 'ptv', 'award', 'and', 'lux', 'style', 'award', 'also']"
bushra ansari performed interesting role in the film “abhi to main jawan hon” from geo tv,positive,,"['bushra', 'ansari', 'performed', 'interesting', 'role', 'in', 'the', 'film', '“', 'abhi', 'to', 'main', 'jawan', 'hon', '”', 'from', 'geo', 'tv']"
yeh beyk waqt actress singer host comedian and drama nigaar ke taur par pehchani jati hain,positive,,"['yeh', 'beyk', 'waqt', 'actress', 'singer', 'host', 'comedian', 'and', 'drama', 'nigaar', 'ke', 'taur', 'par', 'pehchani', 'jati', 'hain']"
inka har andaaz munfarid aur har roop judagana hai,positive,,"['inka', 'har', 'andaaz', 'munfarid', 'aur', 'har', 'roop', 'judagana', 'hai']"
sanjeeda acting comedy parody singing hosting aur ab drama nigari,positive,,"['sanjeeda', 'acting', 'comedy', 'parody', 'singing', 'hosting', 'aur', 'ab', 'drama', 'nigari']"
inho ne har field mein apna loha manwaya hai,positive,,"['inho', 'ne', 'har', 'field', 'mein', 'apna', 'loha', 'manwaya', 'hai']"
jis se in ki do betiyan hain,positive,,"['jis', 'se', 'in', 'ki', 'do', 'betiyan', 'hain']"
intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,positive,,"['intehai', 'masroof', 'aur', 'mashoor', 'fankara', 'hone', 'ke', 'bawajood', 'inho', 'ne', 'aik', 'biwi', 'aur', 'maa', 'ka', 'role', 'pori', 'zimmedari', 'se', 'adaa', 'kiya']"
bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,positive,,"['bushra', 'apni', 'family', 'se', 'bohat', 'ziyada', 'attached', 'hain', 'aur', 'fursat', 'ka', 'tamam', 'waqt', 'ghar', 'walon', 'ke', 'sath', 'he', 'guzarti', 'hain']"
career bushra ansari sirf 9 saal ki umer mein he ptv ke children music show kalbon ki mala ki regular performer ban gai thin,positive,,"['career', 'bushra', 'ansari', 'sirf', '9', 'saal', 'ki', 'umer', 'mein', 'he', 'ptv', 'ke', 'children', 'music', 'show', 'kalbon', 'ki', 'mala', 'ki', 'regular', 'performer', 'ban', 'gai', 'thin']"
to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya,positive,,"['to', 'farooq', 'qiaser', 'ne', 'inhe', 'apne', 'show', 'kalliyan', 'ke', 'liye', 'muntakhib', 'kiya']"
is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,positive,,"['is', 'ke', 'ilawa', 'wo', 'show', 'ke', 'deegar', 'roles', 'ke', 'liye', 'bhi', 'songs', 'gaya', 'karti', 'thin']"
bunyadi taur par yeh bahon ka show tha lekin ise har umar ke nazreen barhe shauq se dekha karte the,positive,,"['bunyadi', 'taur', 'par', 'yeh', 'bahon', 'ka', 'show', 'tha', 'lekin', 'ise', 'har', 'umar', 'ke', 'nazreen', 'barhe', 'shauq', 'se', 'dekha', 'karte', 'the']"
bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,positive,,"['bushra', 'ne', 'sab', 'se', 'pehle', 'iqbal', 'ansari', 'ke', 'aik', 'drama', 'mein', 'acting', 'ke', 'johar', 'dikhaey']"
lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,positive,,"['lekin', 'bushra', 'ko', 'sab', 'se', 'ziyada', 'shohrat', 'anwar', 'maqsood', 'ke', 'show', 'shosha', 'se', 'mili']"
jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,positive,,"['jis', 'mein', 'bushra', 'ne', 'bijli', 'ka', 'role', 'adaa', 'kar', 'ke', 'meyla', 'loot', 'liya']"
yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,positive,,"['yeh', 'character', 'itna', 'popular', 'hua', 'ke', 'jab', 'kabhi', 'bushra', 'ansari', 'kisi', 'show', 'ke', 'silsile', 'mein', 'beyron', 'e', 'mulk', 'jati', 'to', 'in', 'se', 'bijli', 'ka', 'character', 'karne', 'ki', 'farmaiysh', 'ki', 'jati']"
bushra ansari ka aik aur aeham show aangan terha hai jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di,positive,,"['bushra', 'ansari', 'ka', 'aik', 'aur', 'aeham', 'show', 'aangan', 'terha', 'hai', 'jise', 'anwar', 'maqsood', 'ne', 'likha', 'aur', 'us', 'mein', 'inho', 'ne', 'shakeel', 'siddiqui', 'aur', 'saleem', 'nasir', 'marhoom', 'ke', 'hamrah', 'yadgar', 'performance', 'di']"
comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai,positive,,"['comedy', 'shows', 'ki', 'bat', 'ho', 'to', 'sab', 'se', 'pehle', 'ptv', 'ki', 'tareekh', 'ke', 'maqbool', 'tareen', 'show', 'fifty', 'fifty', 'ka', 'naam', 'zehan', 'mein', 'aata', 'hai']"
is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,positive,,"['is', 'show', 'ko', 'maqboliyat', 'ki', 'bulandiyon', 'tak', 'pohnchane', 'mein', 'jahan', 'ismail', 'tara', 'aur', 'majid', 'jahangir', 'ki', 'lajawab', 'performance', 'ka', 'dakhal', 'tha', 'to', 'bushra', 'ansari', 'ne', 'bhi', 'apni', 'parodies', 'ke', 'zariye', 'is', 'show', 'ko', 'kamiyab', 'banane', 'mein', 'koi', 'kasar', 'na', 'chori']"
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,positive,,"['inho', 'ne', 'chehre', 'ke', 'tasurrat', 'aur', 'body', 'language', 'ke', 'zariye', 'in', 'roles', 'mein', 'jaan', 'daal', 'di']"
bushra ansari ne har umer ke role adaa kiye hain jin mein young udherh aur old age sab he shamil hain,positive,,"['bushra', 'ansari', 'ne', 'har', 'umer', 'ke', 'role', 'adaa', 'kiye', 'hain', 'jin', 'mein', 'young', 'udherh', 'aur', 'old', 'age', 'sab', 'he', 'shamil', 'hain']"
personality bushra ansari ko sirf acting mein he malka hasil nahi bal key eh aik shandar shakhsiyat ki bhi malik hain,positive,,"['personality', 'bushra', 'ansari', 'ko', 'sirf', 'acting', 'mein', 'he', 'malka', 'hasil', 'nahi', 'bal', 'key', 'eh', 'aik', 'shandar', 'shakhsiyat', 'ki', 'bhi', 'malik', 'hain']"
yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,positive,,"['yeh', 'guzishta', '40', 'saal', 'se', 'mini', 'screen', 'par', 'apni', 'salahiyaton', 'ke', 'johar', 'dikha', 'rahi', 'hain', 'aur', 'din', 'ba', 'din', 'in', 'ke', 'har', 'sitaron', 'ki', 'tadad', 'mein', 'izafa', 'hota', 'ja', 'raha', 'hai']"
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,positive,,"['kyun', 'ke', 'wo', 'janti', 'hain', 'ke', 'waqt', 'ke', 'sath', 'sath', 'apne', 'kaam', 'mein', 'kya', 'tabdeeli', 'lai', 'ja', 'sakti', 'hai']"
