comment,sentiment,tokens
یحییٰ اللّٰہ تعالیٰ آپ کی والدہ کو جنت الفردوس میں اعلی مقام عطا فرمائے,positive,"['یحییٰ', 'اللّٰہ', 'تعالیٰ', 'آپ', 'کی', 'والدہ', 'کو', 'جنت', 'الفردوس', 'میں', 'اعلی', 'مقام', 'عطا', 'فرمائے']"
شرجیل خان کو سپورٹ کریں اسنے غلطی کی لیکن اس کی خدمات بھی یادگار ھیں کرکٹ ٹیم چاھے ٹیسٹ میچ ہو ون ڈے,positive,"['شرجیل', 'خان', 'کو', 'سپورٹ', 'کریں', 'اسنے', 'غلطی', 'کی', 'لیکن', 'اس', 'کی', 'خدمات', 'بھی', 'یادگار', 'ھیں', 'کرکٹ', 'ٹیم', 'چاھے', 'ٹیسٹ', 'میچ', 'ہو', 'ون', 'ڈے']"
عماد وسیم کو لی کھیلنی چاہیے اور پاکستان میں ورلڈ کپ بھی کھیلنا چاہیے اچھا پلیئر ہے نجف سیٹی بیسٹ ادمی تھا,positive,"['عماد', 'وسیم', 'کو', 'لی', 'کھیلنی', 'چاہیے', 'اور', 'پاکستان', 'میں', 'ورلڈ', 'کپ', 'بھی', 'کھیلنا', 'چاہیے', 'اچھا', 'پلیئر', 'ہے', 'نجف', 'سیٹی', 'بیسٹ', 'ادمی', 'تھا']"
انشاء اللہ پاکستان جیتے گا,positive,"['انشاء', 'اللہ', 'پاکستان', 'جیتے', 'گا']"
تم نے بہت اچھا کیا کہ تم جیو نیوز چینل سے نکل گئے ہو اب میں آپ کے چینل دیکھو گا,positive,"['تم', 'نے', 'بہت', 'اچھا', 'کیا', 'کہ', 'تم', 'جیو', 'نیوز', 'چینل', 'سے', 'نکل', 'گئے', 'ہو', 'اب', 'میں', 'آپ', 'کے', 'چینل', 'دیکھو', 'گا']"
سلیم یوسف زبردست پلیئر,positive,"['سلیم', 'یوسف', 'زبردست', 'پلیئر']"
ہمیں پتہ ہے آپ اُس کے ساتھ انصاف کریں گے اور سرفراز احمد کو کھلاٸیں گے اور ہمیں پوری امید ہے کہ آپ بابر اعظم کو کپتانی سے ہٹا کر سرفراز احمد کو دوبارہ کپتان بنایں گےکیونکہ کہ وہ نمبر ون کپتان ہے,positive,"['ہمیں', 'پتہ', 'ہے', 'آپ', 'اُس', 'کے', 'ساتھ', 'انصاف', 'کریں', 'گے', 'اور', 'سرفراز', 'احمد', 'کو', 'کھلاٸیں', 'گے', 'اور', 'ہمیں', 'پوری', 'امید', 'ہے', 'کہ', 'آپ', 'بابر', 'اعظم', 'کو', 'کپتانی', 'سے', 'ہٹا', 'کر', 'سرفراز', 'احمد', 'کو', 'دوبارہ', 'کپتان', 'بنایں', 'گےکیونکہ', 'کہ', 'وہ', 'نمبر', 'ون', 'کپتان', 'ہے']"
عاقب جاوید بالکل سچ بول رہا ھے,positive,"['عاقب', 'جاوید', 'بالکل', 'سچ', 'بول', 'رہا', 'ھے']"
بہت خوبصورت پروگرام ہے,positive,"['بہت', 'خوبصورت', 'پروگرام', 'ہے']"
عاقب وسیم اکرم اور وقار شعیب اختر انکی خوبصورتی کا راز تھا عمران خان جیسا جو ڈسپلن سے ہٹ کے کچھ نہی کرنے دیتا تھا,positive,"['عاقب', 'وسیم', 'اکرم', 'اور', 'وقار', 'شعیب', 'اختر', 'انکی', 'خوبصورتی', 'کا', 'راز', 'تھا', 'عمران', 'خان', 'جیسا', 'جو', 'ڈسپلن', 'سے', 'ہٹ', 'کے', 'کچھ', 'نہی', 'کرنے', 'دیتا', 'تھا']"
عاقب جاوید پاکستان کی شان ہیں الحمداللہ,positive,"['عاقب', 'جاوید', 'پاکستان', 'کی', 'شان', 'ہیں', 'الحمداللہ']"
نماز کبھی نہ چھوڑیں اس لیے کہ قبروں میں لاکھوں لوگ ترس رہے ہیں کہ دوبارہ زندگی مل جائے تاکہ اللہ کے لیے ایک سجدہ کر لیں‍,positive,"['نماز', 'کبھی', 'نہ', 'چھوڑیں', 'اس', 'لیے', 'کہ', 'قبروں', 'میں', 'لاکھوں', 'لوگ', 'ترس', 'رہے', 'ہیں', 'کہ', 'دوبارہ', 'زندگی', 'مل', 'جائے', 'تاکہ', 'اللہ', 'کے', 'لیے', 'ایک', 'سجدہ', 'کر', 'لیں\u200d']"
اللہ تعالی ہم سب مسلمانوں کو صراط مستقیم قرآن اور حدیث پر چلن ے کی توفیق عطا فرمائے آمین,positive,"['اللہ', 'تعالی', 'ہم', 'سب', 'مسلمانوں', 'کو', 'صراط', 'مستقیم', 'قرآن', 'اور', 'حدیث', 'پر', 'چلن', 'ے', 'کی', 'توفیق', 'عطا', 'فرمائے', 'آمین']"
اسلام علیکم ورحمتہ اللہ وبرکاتہ آج کا مہمان ھوئے ھوئے ھوئے,positive,"['اسلام', 'علیکم', 'ورحمتہ', 'اللہ', 'وبرکاتہ', 'آج', 'کا', 'مہمان', 'ھوئے', 'ھوئے', 'ھوئے']"
ادھم نظم والا سیگمنٹ بھی رکھیں وہ کافی مزے کا ہے,positive,"['ادھم', 'نظم', 'والا', 'سیگمنٹ', 'بھی', 'رکھیں', 'وہ', 'کافی', 'مزے', 'کا', 'ہے']"
عاقب جاویدکی باتوں میں وزن ہے صدر کو ہی کرکٹ کا عہدہ سنبھالنا چاہیئے,positive,"['عاقب', 'جاویدکی', 'باتوں', 'میں', 'وزن', 'ہے', 'صدر', 'کو', 'ہی', 'کرکٹ', 'کا', 'عہدہ', 'سنبھالنا', 'چاہیئے']"
آسٹریلیا کوئی سخت ٹیم نہیں ہے ان کے پاس تقریباً زیادہ تر کھلاڑی پرانے ہیں اور ان کا تجربہ بھی پندرہ سال کا ہےاور ان کا کوئی نیا ٹیلنٹ والا لڑکا بھی نہیں ہے اس طرح ان کی پرانی ٹیم کی ہرطرح کی باریکی کا بھی آپ کو پتہ چل گیا ہوگا پھر بھی آپ آسٹریلیا جیسی پرانی ٹیم سے پریشان ہو جاتے ہیں,positive,"['آسٹریلیا', 'کوئی', 'سخت', 'ٹیم', 'نہیں', 'ہے', 'ان', 'کے', 'پاس', 'تقریباً', 'زیادہ', 'تر', 'کھلاڑی', 'پرانے', 'ہیں', 'اور', 'ان', 'کا', 'تجربہ', 'بھی', 'پندرہ', 'سال', 'کا', 'ہےاور', 'ان', 'کا', 'کوئی', 'نیا', 'ٹیلنٹ', 'والا', 'لڑکا', 'بھی', 'نہیں', 'ہے', 'اس', 'طرح', 'ان', 'کی', 'پرانی', 'ٹیم', 'کی', 'ہرطرح', 'کی', 'باریکی', 'کا', 'بھی', 'آپ', 'کو', 'پتہ', 'چل', 'گیا', 'ہوگا', 'پھر', 'بھی', 'آپ', 'آسٹریلیا', 'جیسی', 'پرانی', 'ٹیم', 'سے', 'پریشان', 'ہو', 'جاتے', 'ہیں']"
شاہین آفریدی کو کیپٹن بنانا چاہیے,positive,"['شاہین', 'آفریدی', 'کو', 'کیپٹن', 'بنانا', 'چاہیے']"
کتنا اچھا ہو کہ کوھلی بابراعظم سے شرٹ مانگے,positive,"['کتنا', 'اچھا', 'ہو', 'کہ', 'کوھلی', 'بابراعظم', 'سے', 'شرٹ', 'مانگے']"
بہت اچھی بات کی عاقب بھاہی نے,positive,"['بہت', 'اچھی', 'بات', 'کی', 'عاقب', 'بھاہی', 'نے']"
عاقب کا پوئنٹ درست ہے,positive,"['عاقب', 'کا', 'پوئنٹ', 'درست', 'ہے']"
قابلیت دشمن کو بھی مرید بنا دیتی ہے,positive,"['قابلیت', 'دشمن', 'کو', 'بھی', 'مرید', 'بنا', 'دیتی', 'ہے']"
سب سے پہلے یہ عاقب جاوید کا ہی تجربہ تھا سلو بال کرنا جو بعد میں بہت مشہور ہوا,positive,"['سب', 'سے', 'پہلے', 'یہ', 'عاقب', 'جاوید', 'کا', 'ہی', 'تجربہ', 'تھا', 'سلو', 'بال', 'کرنا', 'جو', 'بعد', 'میں', 'بہت', 'مشہور', 'ہوا']"
شاہین ایسے فیصلے لیتا ہے بابر جیسا عام بندہ سوچ نہیں سکتا تھا,positive,"['شاہین', 'ایسے', 'فیصلے', 'لیتا', 'ہے', 'بابر', 'جیسا', 'عام', 'بندہ', 'سوچ', 'نہیں', 'سکتا', 'تھا']"
لاہور قلندر کو جیت مبارک ہو مجھے عمرا کا ٹکٹ چاہئیے لاہور قلندر والوں سے,positive,"['لاہور', 'قلندر', 'کو', 'جیت', 'مبارک', 'ہو', 'مجھے', 'عمرا', 'کا', 'ٹکٹ', 'چاہئیے', 'لاہور', 'قلندر', 'والوں', 'سے']"
خالق بھی وہی ہے حفیظ بھی وہی ہے غفور بھی وہی ہے جبار بھی وہی ہے قہار بھی وہی ہے فتح بھی وہی ہے رحمان بھی وہی ہے ہم سب کا رب بھی وہی ہے توکل اللہ اللہ ہمیں معاف فرما,positive,"['خالق', 'بھی', 'وہی', 'ہے', 'حفیظ', 'بھی', 'وہی', 'ہے', 'غفور', 'بھی', 'وہی', 'ہے', 'جبار', 'بھی', 'وہی', 'ہے', 'قہار', 'بھی', 'وہی', 'ہے', 'فتح', 'بھی', 'وہی', 'ہے', 'رحمان', 'بھی', 'وہی', 'ہے', 'ہم', 'سب', 'کا', 'رب', 'بھی', 'وہی', 'ہے', 'توکل', 'اللہ', 'اللہ', 'ہمیں', 'معاف', 'فرما']"
اللہ مزید کامیابیاں عطا کرے اور اس سے زیادہ دے,positive,"['اللہ', 'مزید', 'کامیابیاں', 'عطا', 'کرے', 'اور', 'اس', 'سے', 'زیادہ', 'دے']"
سادہ انسان ہے,positive,"['سادہ', 'انسان', 'ہے']"
دنیا کا تیز ترین بالر پاکستان کو مل گیا ورلڈ کپ میں پاکستان کو جتوانے میں بہت اہم کردار ادا کرنے کو بے تاب ویڈیو میں نے اپلوڈ کر دی ابھی جا کے دیکھو اور مبارک ہو بہت بہت پاکستانیوں,positive,"['دنیا', 'کا', 'تیز', 'ترین', 'بالر', 'پاکستان', 'کو', 'مل', 'گیا', 'ورلڈ', 'کپ', 'میں', 'پاکستان', 'کو', 'جتوانے', 'میں', 'بہت', 'اہم', 'کردار', 'ادا', 'کرنے', 'کو', 'بے', 'تاب', 'ویڈیو', 'میں', 'نے', 'اپلوڈ', 'کر', 'دی', 'ابھی', 'جا', 'کے', 'دیکھو', 'اور', 'مبارک', 'ہو', 'بہت', 'بہت', 'پاکستانیوں']"
رانا صاحب زندہ باد,positive,"['رانا', 'صاحب', 'زندہ', 'باد']"
شہزادہ بندہ ہے رانا فواد یقین مانو لاہور قلندر کا سپوٹر صرف آپ کی وجہ سے ہوں کیونکہ آپ سچے اور خوش دل انسان ہو لو یو رانا صاحب دما دم مست قلندر دما دم لاہور قلندر,positive,"['شہزادہ', 'بندہ', 'ہے', 'رانا', 'فواد', 'یقین', 'مانو', 'لاہور', 'قلندر', 'کا', 'سپوٹر', 'صرف', 'آپ', 'کی', 'وجہ', 'سے', 'ہوں', 'کیونکہ', 'آپ', 'سچے', 'اور', 'خوش', 'دل', 'انسان', 'ہو', 'لو', 'یو', 'رانا', 'صاحب', 'دما', 'دم', 'مست', 'قلندر', 'دما', 'دم', 'لاہور', 'قلندر']"
انشاءاللہ آپ جیتنے گے سر,positive,"['انشاءاللہ', 'آپ', 'جیتنے', 'گے', 'سر']"
میں پاکستان کو سپورٹ کرتا ہوں اللہ تعالی آپ سب لوگوں کو خوش رکھے جو پاکستان کی خوشی چاہتے ہیں میری دعا ہے آپ سب لوگوں کے لئے امین,positive,"['میں', 'پاکستان', 'کو', 'سپورٹ', 'کرتا', 'ہوں', 'اللہ', 'تعالی', 'آپ', 'سب', 'لوگوں', 'کو', 'خوش', 'رکھے', 'جو', 'پاکستان', 'کی', 'خوشی', 'چاہتے', 'ہیں', 'میری', 'دعا', 'ہے', 'آپ', 'سب', 'لوگوں', 'کے', 'لئے', 'امین']"
السلام علیکم کیا بات ہے رانا صاحب ان شاء اللہ پاکستان میں بہت جلد کرکٹ واپس آئے گی میں لودھراں کا رہنے والا ہوں اس حساب سے میری ٹیم ملتان سلطان بنتی ہے لیکن میں پاکستان کے پی ایس ایل کے تمام ٹیموں کو سپورٹ کرتا ہوں,positive,"['السلام', 'علیکم', 'کیا', 'بات', 'ہے', 'رانا', 'صاحب', 'ان', 'شاء', 'اللہ', 'پاکستان', 'میں', 'بہت', 'جلد', 'کرکٹ', 'واپس', 'آئے', 'گی', 'میں', 'لودھراں', 'کا', 'رہنے', 'والا', 'ہوں', 'اس', 'حساب', 'سے', 'میری', 'ٹیم', 'ملتان', 'سلطان', 'بنتی', 'ہے', 'لیکن', 'میں', 'پاکستان', 'کے', 'پی', 'ایس', 'ایل', 'کے', 'تمام', 'ٹیموں', 'کو', 'سپورٹ', 'کرتا', 'ہوں']"
رانا فواد صاحب پاکستان کرکٹ اور لاہور قلندرز کے لۓ آپ کی اس انتھک محنت اور جدوجہد پیش کرتا ہوں,positive,"['رانا', 'فواد', 'صاحب', 'پاکستان', 'کرکٹ', 'اور', 'لاہور', 'قلندرز', 'کے', 'لۓ', 'آپ', 'کی', 'اس', 'انتھک', 'محنت', 'اور', 'جدوجہد', 'پیش', 'کرتا', 'ہوں']"
سر ہم آپ سے بہت زیادہ خوش ہیں اللہ پاک صحت دے امین,positive,"['سر', 'ہم', 'آپ', 'سے', 'بہت', 'زیادہ', 'خوش', 'ہیں', 'اللہ', 'پاک', 'صحت', 'دے', 'امین']"
جبہ تنک لاہور کلندر کے ٹیم اجہا ہے نام اجہا نہے ہے ہی لاہور کلندر اری کلندر ایک ہے شھباز کلندر سندہژی دا دوسرا کلندر بنائے گا تو کبہے نہے جیتے گا سوج لی رانا صاحب بی ادب بن رہی ہو,positive,"['جبہ', 'تنک', 'لاہور', 'کلندر', 'کے', 'ٹیم', 'اجہا', 'ہے', 'نام', 'اجہا', 'نہے', 'ہے', 'ہی', 'لاہور', 'کلندر', 'اری', 'کلندر', 'ایک', 'ہے', 'شھباز', 'کلندر', 'سندہژی', 'دا', 'دوسرا', 'کلندر', 'بنائے', 'گا', 'تو', 'کبہے', 'نہے', 'جیتے', 'گا', 'سوج', 'لی', 'رانا', 'صاحب', 'بی', 'ادب', 'بن', 'رہی', 'ہو']"
اللہ رب العالمین آپ کی محبت کو ہمیشہ خوش و سلامت رکھے آپ ہمیشہ ایسے ہی مسکراتے رہو اللہ آپ کو دنیا اور آخرت کی کامیابی نصیب عطا فرمائے,positive,"['اللہ', 'رب', 'العالمین', 'آپ', 'کی', 'محبت', 'کو', 'ہمیشہ', 'خوش', 'و', 'سلامت', 'رکھے', 'آپ', 'ہمیشہ', 'ایسے', 'ہی', 'مسکراتے', 'رہو', 'اللہ', 'آپ', 'کو', 'دنیا', 'اور', 'آخرت', 'کی', 'کامیابی', 'نصیب', 'عطا', 'فرمائے']"
اسلام و علیکم سر کیا ہال ہے مجھے بہت شوق ہے کرکٹ میں میں آنا چاہتا ہوں,positive,"['اسلام', 'و', 'علیکم', 'سر', 'کیا', 'ہال', 'ہے', 'مجھے', 'بہت', 'شوق', 'ہے', 'کرکٹ', 'میں', 'میں', 'آنا', 'چاہتا', 'ہوں']"
پرانی ویڈیو ہے فواد رانا صاحب بیمار ہیں اللہ پاک انھیں صحت دے آمین,positive,"['پرانی', 'ویڈیو', 'ہے', 'فواد', 'رانا', 'صاحب', 'بیمار', 'ہیں', 'اللہ', 'پاک', 'انھیں', 'صحت', 'دے', 'آمین']"
اللہ اس شخص کو صبر دے,positive,"['اللہ', 'اس', 'شخص', 'کو', 'صبر', 'دے']"
رانا صاحب کے لیے دل سے دعا کرتے ہیں کہ اللہ انہیں لمبی زندگی دے ان کی جان مال اولاد میں خیر و برکت دے پاکستان کے ساتھ رانا صاحب زندہ باد,positive,"['رانا', 'صاحب', 'کے', 'لیے', 'دل', 'سے', 'دعا', 'کرتے', 'ہیں', 'کہ', 'اللہ', 'انہیں', 'لمبی', 'زندگی', 'دے', 'ان', 'کی', 'جان', 'مال', 'اولاد', 'میں', 'خیر', 'و', 'برکت', 'دے', 'پاکستان', 'کے', 'ساتھ', 'رانا', 'صاحب', 'زندہ', 'باد']"
واوا,positive,['واوا']
میں پٹھان ہوں اور پشاور سے تعلق رکھتا ہوجب سے پی ایس ایل سٹارٹ ہوا ہے میرا فیورٹ ٹیم لاہور قلندر ہے انشاءاللہ جیت ہماری ہو گی لاہور قلندر دمادم مست قلندر,positive,"['میں', 'پٹھان', 'ہوں', 'اور', 'پشاور', 'سے', 'تعلق', 'رکھتا', 'ہوجب', 'سے', 'پی', 'ایس', 'ایل', 'سٹارٹ', 'ہوا', 'ہے', 'میرا', 'فیورٹ', 'ٹیم', 'لاہور', 'قلندر', 'ہے', 'انشاءاللہ', 'جیت', 'ہماری', 'ہو', 'گی', 'لاہور', 'قلندر', 'دمادم', 'مست', 'قلندر']"
ہماری دعائیں ھامری ٹیم لاھور کے ساتھ ہیں,positive,"['ہماری', 'دعائیں', 'ھامری', 'ٹیم', 'لاھور', 'کے', 'ساتھ', 'ہیں']"
رانا صاحب اِنشاآللہ فائنل بھی ھم ہی جیتیں گے آللہ کے کرم و فضل سے,positive,"['رانا', 'صاحب', 'اِنشاآللہ', 'فائنل', 'بھی', 'ھم', 'ہی', 'جیتیں', 'گے', 'آللہ', 'کے', 'کرم', 'و', 'فضل', 'سے']"
انشاءاللہ جیت آپ کی ہوگی تمام کشمیری عوام کی طرف سے آپ کے لئے خصوصی دعائیں,positive,"['انشاءاللہ', 'جیت', 'آپ', 'کی', 'ہوگی', 'تمام', 'کشمیری', 'عوام', 'کی', 'طرف', 'سے', 'آپ', 'کے', 'لئے', 'خصوصی', 'دعائیں']"
سلام ھے رانا فواد,positive,"['سلام', 'ھے', 'رانا', 'فواد']"
ماں کھانے میں کچھ بھى بنائے اُس کی تعرف کیا کروکیونکہ بہت سے لوگوں کے پاس نہ کھانا ہے اور نہ ماں پلیز میرے چینل سبسکرائب کرئن,positive,"['ماں', 'کھانے', 'میں', 'کچھ', 'بھى', 'بنائے', 'اُس', 'کی', 'تعرف', 'کیا', 'کروکیونکہ', 'بہت', 'سے', 'لوگوں', 'کے', 'پاس', 'نہ', 'کھانا', 'ہے', 'اور', 'نہ', 'ماں', 'پلیز', 'میرے', 'چینل', 'سبسکرائب', 'کرئن']"
میرا نام آفراز انجم ہیں میں اپ کے پرگرام کا بہت پرانا اور بڑا فین ہو,positive,"['میرا', 'نام', 'آفراز', 'انجم', 'ہیں', 'میں', 'اپ', 'کے', 'پرگرام', 'کا', 'بہت', 'پرانا', 'اور', 'بڑا', 'فین', 'ہو']"
خوش رہیں میری دعا ہے اللہ آپ کو اپنے افضا ایمان میں رکھ آمین,positive,"['خوش', 'رہیں', 'میری', 'دعا', 'ہے', 'اللہ', 'آپ', 'کو', 'اپنے', 'افضا', 'ایمان', 'میں', 'رکھ', 'آمین']"
ھھھھھھ ھھھھھھ ھھھھھھ ویری ویری فنی سلیم صاحب شفقت صاحب پاکستان زندہ باد پاک آرمی زندہ باد,positive,"['ھھھھھھ', 'ھھھھھھ', 'ھھھھھھ', 'ویری', 'ویری', 'فنی', 'سلیم', 'صاحب', 'شفقت', 'صاحب', 'پاکستان', 'زندہ', 'باد', 'پاک', 'آرمی', 'زندہ', 'باد']"
بہت اچھے,positive,"['بہت', 'اچھے']"
سلیم بھائی زبردستسلیم بھائی امان اللہ صاحب کا کیا حال ہے کب تک خبریار میں واپس آئیں گےآپ اچھا سکرپٹ لائیں مزید مزیدار پروگرام سے لطف اندوز ہونے کا موقع فراہم کریں,positive,"['سلیم', 'بھائی', 'زبردستسلیم', 'بھائی', 'امان', 'اللہ', 'صاحب', 'کا', 'کیا', 'حال', 'ہے', 'کب', 'تک', 'خبریار', 'میں', 'واپس', 'آئیں', 'گےآپ', 'اچھا', 'سکرپٹ', 'لائیں', 'مزید', 'مزیدار', 'پروگرام', 'سے', 'لطف', 'اندوز', 'ہونے', 'کا', 'موقع', 'فراہم', 'کریں']"
سليم البیلا زبردست ہے,positive,"['سليم', 'البیلا', 'زبردست', 'ہے']"
میں سليم البیلا اور شفقت رضا کا بڑا فین ہوں,positive,"['میں', 'سليم', 'البیلا', 'اور', 'شفقت', 'رضا', 'کا', 'بڑا', 'فین', 'ہوں']"
سليم البیلا بہت اچھا فنکار ہے,positive,"['سليم', 'البیلا', 'بہت', 'اچھا', 'فنکار', 'ہے']"
یار کیا بات سلیم البیلا کی گریٹ کامیڈین,positive,"['یار', 'کیا', 'بات', 'سلیم', 'البیلا', 'کی', 'گریٹ', 'کامیڈین']"
لاہور کو ایک میچ جتوا ہی دینا چاہیے,positive,"['لاہور', 'کو', 'ایک', 'میچ', 'جتوا', 'ہی', 'دینا', 'چاہیے']"
جو سلیم صاحب ہیں ٹھیک ہے بہت بہت اچھا لگ رہا آپ بہت اچھے ہو جناب آپ کا مہربانی,positive,"['جو', 'سلیم', 'صاحب', 'ہیں', 'ٹھیک', 'ہے', 'بہت', 'بہت', 'اچھا', 'لگ', 'رہا', 'آپ', 'بہت', 'اچھے', 'ہو', 'جناب', 'آپ', 'کا', 'مہربانی']"
بہت اچھی ویڈیو جناب آپ کی بہت اچھا کام صاحب مجھے دیکھ کے بہت اچھا لگا اور سب سے بڑھ کر ٹی وی کو جو سب سے زیادہ لائک کرتے ہیں وہ اس کے سیٹیزن ہیں اس کے شہر والے ہیں,positive,"['بہت', 'اچھی', 'ویڈیو', 'جناب', 'آپ', 'کی', 'بہت', 'اچھا', 'کام', 'صاحب', 'مجھے', 'دیکھ', 'کے', 'بہت', 'اچھا', 'لگا', 'اور', 'سب', 'سے', 'بڑھ', 'کر', 'ٹی', 'وی', 'کو', 'جو', 'سب', 'سے', 'زیادہ', 'لائک', 'کرتے', 'ہیں', 'وہ', 'اس', 'کے', 'سیٹیزن', 'ہیں', 'اس', 'کے', 'شہر', 'والے', 'ہیں']"
سلیم البیلا بھائی اور شفقت رضا بھائیآپ دونوں کا بہت زبردست کمبینیشن ہے,positive,"['سلیم', 'البیلا', 'بھائی', 'اور', 'شفقت', 'رضا', 'بھائیآپ', 'دونوں', 'کا', 'بہت', 'زبردست', 'کمبینیشن', 'ہے']"
فواد رانا صاحبمبارک ھو,positive,"['فواد', 'رانا', 'صاحبمبارک', 'ھو']"
راشد لطیف صاحب نے اپنے شو میں ایک بہت عمدہ بات کہی تھی کہ اس پی ایس ایل کے نئے پاکستانی ٹاپ پرفامرز کو ڈومسٹنگ میں بھیجو تا کہ وہاں یہ مذید بہتر ہوں پھر ٹیم میں لانے کا سوچیں,positive,"['راشد', 'لطیف', 'صاحب', 'نے', 'اپنے', 'شو', 'میں', 'ایک', 'بہت', 'عمدہ', 'بات', 'کہی', 'تھی', 'کہ', 'اس', 'پی', 'ایس', 'ایل', 'کے', 'نئے', 'پاکستانی', 'ٹاپ', 'پرفامرز', 'کو', 'ڈومسٹنگ', 'میں', 'بھیجو', 'تا', 'کہ', 'وہاں', 'یہ', 'مذید', 'بہتر', 'ہوں', 'پھر', 'ٹیم', 'میں', 'لانے', 'کا', 'سوچیں']"
شاہین افریدی بیسٹ بولر نائس بیوٹی فل,positive,"['شاہین', 'افریدی', 'بیسٹ', 'بولر', 'نائس', 'بیوٹی', 'فل']"
بالکل ڈرے ڈرے لگتے ہیں اتنا بڑا سٹیڈیم اتنے زیادہ تماشاٸی بندہ شیر کی طرح میدان میں اترتا ہےیہ کھلاڑی سہمے سہمے لگتے ہیں جیسے انڈین کھلاڑی انکو اٹھا کر گھر لے جاٸیں گے,positive,"['بالکل', 'ڈرے', 'ڈرے', 'لگتے', 'ہیں', 'اتنا', 'بڑا', 'سٹیڈیم', 'اتنے', 'زیادہ', 'تماشاٸی', 'بندہ', 'شیر', 'کی', 'طرح', 'میدان', 'میں', 'اترتا', 'ہےیہ', 'کھلاڑی', 'سہمے', 'سہمے', 'لگتے', 'ہیں', 'جیسے', 'انڈین', 'کھلاڑی', 'انکو', 'اٹھا', 'کر', 'گھر', 'لے', 'جاٸیں', 'گے']"
